variable_1,variable_2,spearman_rho,abs_spearman_rho
paco2_apache,paco2_for_ph_apache,1.0,1.0
d1_inr_max,h1_inr_max,1.0,1.0
d1_inr_min,h1_inr_min,1.0,1.0
h1_albumin_max,h1_albumin_min,0.999713852820528,0.999713852820528
h1_bun_max,h1_bun_min,0.9995556413307589,0.9995556413307589
h1_bilirubin_max,h1_bilirubin_min,0.9994880088695778,0.9994880088695778
h1_creatinine_max,h1_creatinine_min,0.9993037224014718,0.9993037224014718
d1_diasbp_max,d1_diasbp_noninvasive_max,0.9980127618466883,0.9980127618466883
h1_wbc_max,h1_wbc_min,0.9975558790098364,0.9975558790098364
h1_platelets_max,h1_platelets_min,0.9973032538791146,0.9973032538791146
d1_diasbp_min,d1_diasbp_noninvasive_min,0.9968731507597625,0.9968731507597625
d1_sysbp_min,d1_sysbp_noninvasive_min,0.9968076284440426,0.9968076284440426
d1_sysbp_max,d1_sysbp_noninvasive_max,0.9967681792854656,0.9967681792854656
h1_mbp_min,h1_mbp_noninvasive_min,0.996645286569468,0.996645286569468
h1_sysbp_max,h1_sysbp_noninvasive_max,0.9963402765222898,0.9963402765222898
d1_mbp_min,d1_mbp_noninvasive_min,0.9961753659462008,0.9961753659462008
h1_sysbp_min,h1_sysbp_noninvasive_min,0.9932525264247308,0.9932525264247308
h1_diasbp_max,h1_diasbp_noninvasive_max,0.9925301371109901,0.9925301371109901
h1_mbp_max,h1_mbp_noninvasive_max,0.9924817077021109,0.9924817077021109
d1_mbp_max,d1_mbp_noninvasive_max,0.9921931283272826,0.9921931283272826
h1_lactate_max,h1_lactate_min,0.9916348515530512,0.9916348515530512
h1_calcium_max,h1_calcium_min,0.9914824899692113,0.9914824899692113
h1_diasbp_min,h1_diasbp_noninvasive_min,0.9909663238476004,0.9909663238476004
h1_hco3_max,h1_hco3_min,0.9909111636473282,0.9909111636473282
bun_apache,d1_bun_max,0.9901462541016981,0.9901462541016981
bilirubin_apache,d1_bilirubin_max,0.9897908835587141,0.9897908835587141
creatinine_apache,d1_creatinine_min,0.9806207171340396,0.9806207171340396
creatinine_apache,d1_creatinine_max,0.9791364058093646,0.9791364058093646
d1_platelets_max,h1_platelets_max,0.9729747157002987,0.9729747157002987
hematocrit_apache,d1_hematocrit_min,0.9728292893950492,0.9728292893950492
d1_hemaglobin_min,d1_hematocrit_min,0.9713292354857245,0.9713292354857245
d1_bun_max,h1_bun_max,0.9708165988942641,0.9708165988942641
d1_bun_max,h1_bun_min,0.9703466474578912,0.9703466474578912
d1_bun_max,d1_bun_min,0.9702352631084556,0.9702352631084556
bun_apache,d1_bun_min,0.9702183921957969,0.9702183921957969
d1_platelets_max,h1_platelets_min,0.9702174901020871,0.9702174901020871
d1_creatinine_max,d1_creatinine_min,0.9680899819594299,0.9680899819594299
d1_bilirubin_max,d1_bilirubin_min,0.9676855420815547,0.9676855420815547
h1_hematocrit_max,h1_hematocrit_min,0.9674475628922199,0.9674475628922199
d1_creatinine_max,h1_creatinine_max,0.9672063191829463,0.9672063191829463
h1_sodium_max,h1_sodium_min,0.967059429336162,0.967059429336162
h1_hemaglobin_max,h1_hemaglobin_min,0.9666690900915105,0.9666690900915105
d1_creatinine_max,h1_creatinine_min,0.9665937874099567,0.9665937874099567
h1_hemaglobin_min,h1_hematocrit_min,0.966031696521042,0.966031696521042
bilirubin_apache,d1_bilirubin_min,0.9652046765555615,0.9652046765555615
d1_bilirubin_min,h1_bilirubin_min,0.9630655705496054,0.9630655705496054
d1_bilirubin_min,h1_bilirubin_max,0.9626039368880277,0.9626039368880277
h1_hemaglobin_max,h1_hematocrit_max,0.9623662923350431,0.9623662923350431
bun_apache,h1_bun_min,0.9621863318385997,0.9621863318385997
bun_apache,h1_bun_max,0.9620258868407531,0.9620258868407531
albumin_apache,d1_albumin_min,0.9616778321867182,0.9616778321867182
d1_hemaglobin_max,d1_hematocrit_max,0.9610342522366254,0.9610342522366254
h1_potassium_max,h1_potassium_min,0.9601569246141837,0.9601569246141837
d1_platelets_max,d1_platelets_min,0.9592158799368457,0.9592158799368457
albumin_apache,d1_albumin_max,0.9591791418667409,0.9591791418667409
sodium_apache,d1_sodium_min,0.958885916456469,0.958885916456469
d1_creatinine_min,h1_creatinine_min,0.9584061559649291,0.9584061559649291
d1_creatinine_min,h1_creatinine_max,0.9576429506983122,0.9576429506983122
h1_pao2fio2ratio_max,h1_pao2fio2ratio_min,0.9569380433412206,0.9569380433412206
d1_lactate_max,h1_lactate_max,0.955166516083241,0.955166516083241
d1_bun_min,h1_bun_min,0.9535732487711304,0.9535732487711304
d1_bun_min,h1_bun_max,0.953168736465273,0.953168736465273
wbc_apache,d1_wbc_max,0.9521574379197725,0.9521574379197725
hematocrit_apache,d1_hemaglobin_min,0.9520881699291465,0.9520881699291465
d1_bilirubin_max,h1_bilirubin_max,0.9506476175798835,0.9506476175798835
creatinine_apache,h1_creatinine_min,0.9505461049900159,0.9505461049900159
creatinine_apache,h1_creatinine_max,0.9502811298620841,0.9502811298620841
d1_bilirubin_max,h1_bilirubin_min,0.9501212639129855,0.9501212639129855
d1_lactate_max,h1_lactate_min,0.9500361029031463,0.9500361029031463
h1_hemaglobin_min,h1_hematocrit_max,0.9490806785468139,0.9490806785468139
wbc_apache,d1_wbc_min,0.9488911904061449,0.9488911904061449
d1_hematocrit_max,h1_hematocrit_max,0.9469726380030847,0.9469726380030847
h1_glucose_max,h1_glucose_min,0.94590092650848,0.94590092650848
h1_inr_max,h1_inr_min,0.9449699730397347,0.9449699730397347
d1_inr_max,h1_inr_min,0.9449699730397347,0.9449699730397347
d1_inr_min,h1_inr_max,0.9449699730397347,0.9449699730397347
d1_inr_max,d1_inr_min,0.9449699730397347,0.9449699730397347
h1_arterial_pco2_max,h1_arterial_pco2_min,0.9428767177411835,0.9428767177411835
h1_arterial_ph_max,h1_arterial_ph_min,0.9412112506613535,0.9412112506613535
h1_hemaglobin_max,h1_hematocrit_min,0.9400501858159943,0.9400501858159943
d1_hemaglobin_max,h1_hemaglobin_max,0.9377641836442092,0.9377641836442092
d1_albumin_max,d1_albumin_min,0.9366244767915608,0.9366244767915608
d1_platelets_min,h1_platelets_min,0.9320861815629902,0.9320861815629902
bilirubin_apache,h1_bilirubin_min,0.9313591856837463,0.9313591856837463
bilirubin_apache,h1_bilirubin_max,0.9313034483277064,0.9313034483277064
d1_platelets_min,h1_platelets_max,0.9295811915803542,0.9295811915803542
d1_wbc_max,d1_wbc_min,0.9230766545622034,0.9230766545622034
d1_wbc_max,h1_wbc_max,0.922414050052455,0.922414050052455
hematocrit_apache,d1_hematocrit_max,0.9203779792687251,0.9203779792687251
d1_wbc_max,h1_wbc_min,0.9196547608048926,0.9196547608048926
d1_hematocrit_max,h1_hematocrit_min,0.9181081841374487,0.9181081841374487
d1_hematocrit_max,d1_hematocrit_min,0.9148050600188214,0.9148050600188214
d1_albumin_max,h1_albumin_max,0.9138681305053241,0.9138681305053241
d1_albumin_max,h1_albumin_min,0.913662360496864,0.913662360496864
h1_temp_max,h1_temp_min,0.910263244703296,0.910263244703296
d1_hco3_min,h1_hco3_min,0.9097360351352057,0.9097360351352057
d1_calcium_max,h1_calcium_min,0.9093612377020306,0.9093612377020306
elective_surgery,apache_post_operative,0.9084855614958295,0.9084855614958295
d1_hematocrit_max,h1_hemaglobin_max,0.9083410173166241,0.9083410173166241
d1_hemaglobin_max,h1_hemaglobin_min,0.9082035617479365,0.9082035617479365
d1_sodium_min,h1_sodium_min,0.9074164151281365,0.9074164151281365
d1_calcium_max,h1_calcium_max,0.9069539317825159,0.9069539317825159
d1_hemaglobin_max,d1_hemaglobin_min,0.9063169755822812,0.9063169755822812
d1_albumin_min,h1_albumin_min,0.9021924500159997,0.9021924500159997
d1_hemaglobin_max,h1_hematocrit_max,0.902029742131134,0.902029742131134
d1_albumin_min,h1_albumin_max,0.9018132338337052,0.9018132338337052
d1_hco3_min,h1_hco3_max,0.9016961001063416,0.9016961001063416
d1_hemaglobin_min,d1_hematocrit_max,0.9002663965061318,0.9002663965061318
d1_pao2fio2ratio_min,h1_pao2fio2ratio_min,0.8973006960532561,0.8973006960532561
d1_hematocrit_min,h1_hematocrit_min,0.8944032350477314,0.8944032350477314
h1_arterial_po2_max,h1_arterial_po2_min,0.8933394717496044,0.8933394717496044
d1_hematocrit_max,h1_hemaglobin_min,0.8910141469861678,0.8910141469861678
albumin_apache,h1_albumin_min,0.8904620620984769,0.8904620620984769
albumin_apache,h1_albumin_max,0.8900564306381794,0.8900564306381794
d1_arterial_pco2_max,h1_arterial_pco2_max,0.8898971370265244,0.8898971370265244
d1_hemaglobin_min,h1_hemaglobin_min,0.8888831289519783,0.8888831289519783
hematocrit_apache,d1_hemaglobin_max,0.8862969064349749,0.8862969064349749
h1_diasbp_noninvasive_min,h1_mbp_noninvasive_min,0.8829648824223978,0.8829648824223978
d1_sodium_min,h1_sodium_max,0.8825448518011856,0.8825448518011856
d1_arterial_ph_min,h1_arterial_ph_min,0.8821219320275253,0.8821219320275253
d1_hemaglobin_max,d1_hematocrit_min,0.8820715942680647,0.8820715942680647
h1_diasbp_min,h1_mbp_noninvasive_min,0.8801827294363967,0.8801827294363967
h1_diasbp_min,h1_mbp_min,0.8791251041945202,0.8791251041945202
d1_calcium_max,d1_calcium_min,0.878209809342415,0.878209809342415
d1_hemaglobin_max,h1_hematocrit_min,0.8777919651326782,0.8777919651326782
d1_wbc_min,h1_wbc_min,0.8776414030805583,0.8776414030805583
h1_diasbp_noninvasive_min,h1_mbp_min,0.8775979811548557,0.8775979811548557
bmi,weight,0.8768189218617747,0.8768189218617747
d1_diasbp_noninvasive_min,d1_mbp_noninvasive_min,0.8761131954380189,0.8761131954380189
wbc_apache,h1_wbc_max,0.8753945954117787,0.8753945954117787
h1_heartrate_max,h1_heartrate_min,0.8752470198761134,0.8752470198761134
d1_hematocrit_min,h1_hematocrit_max,0.8751599573385326,0.8751599573385326
d1_wbc_min,h1_wbc_max,0.8750295669533668,0.8750295669533668
sodium_apache,d1_sodium_max,0.8743527315983544,0.8743527315983544
wbc_apache,h1_wbc_min,0.874280595702195,0.874280595702195
d1_hemaglobin_min,h1_hematocrit_min,0.874175685069025,0.874175685069025
d1_diasbp_min,d1_mbp_noninvasive_min,0.87302600776726,0.87302600776726
d1_hemaglobin_min,h1_hemaglobin_max,0.8726973362772642,0.8726973362772642
d1_hco3_max,d1_hco3_min,0.8719206701337591,0.8719206701337591
d1_diasbp_min,d1_mbp_min,0.8709924357139557,0.8709924357139557
d1_diasbp_noninvasive_min,d1_mbp_min,0.870176174438601,0.870176174438601
hematocrit_apache,h1_hematocrit_max,0.8685353038837955,0.8685353038837955
d1_hematocrit_min,h1_hemaglobin_min,0.8653893856378585,0.8653893856378585
d1_hemaglobin_min,h1_hematocrit_max,0.865113087395618,0.865113087395618
h1_diasbp_noninvasive_max,h1_mbp_noninvasive_max,0.8633556251175882,0.8633556251175882
hematocrit_apache,h1_hematocrit_min,0.8617855810175061,0.8617855810175061
sodium_apache,h1_sodium_min,0.8607549926954539,0.8607549926954539
h1_diasbp_max,h1_mbp_noninvasive_max,0.8601805495765962,0.8601805495765962
temp_apache,d1_temp_min,0.8587334781434318,0.8587334781434318
h1_diasbp_invasive_min,h1_mbp_invasive_min,0.858597109790977,0.858597109790977
h1_diasbp_noninvasive_max,h1_mbp_max,0.8571454120372978,0.8571454120372978
sodium_apache,h1_sodium_max,0.8570122985317573,0.8570122985317573
d1_pao2fio2ratio_min,h1_pao2fio2ratio_max,0.8569888070334883,0.8569888070334883
d1_sodium_max,d1_sodium_min,0.8551454441115425,0.8551454441115425
h1_diasbp_max,h1_mbp_max,0.8517600545563605,0.8517600545563605
d1_sodium_max,h1_sodium_max,0.8513369813865335,0.8513369813865335
heart_rate_apache,d1_heartrate_max,0.846962006865519,0.846962006865519
d1_hematocrit_min,h1_hemaglobin_max,0.8462912504898403,0.8462912504898403
d1_calcium_min,h1_calcium_min,0.8435970468818033,0.8435970468818033
hematocrit_apache,h1_hemaglobin_min,0.8412072434124815,0.8412072434124815
hematocrit_apache,h1_hemaglobin_max,0.8383948625625319,0.8383948625625319
d1_calcium_min,h1_calcium_max,0.8359597198736858,0.8359597198736858
d1_arterial_pco2_max,h1_arterial_pco2_min,0.8349091221766912,0.8349091221766912
d1_diasbp_noninvasive_max,d1_mbp_noninvasive_max,0.8292672342317877,0.8292672342317877
d1_lactate_max,d1_lactate_min,0.8285817806311073,0.8285817806311073
d1_diasbp_max,d1_mbp_noninvasive_max,0.8272860705484717,0.8272860705484717
d1_arterial_ph_min,h1_arterial_ph_max,0.8255938375736698,0.8255938375736698
h1_diasbp_invasive_max,h1_mbp_invasive_max,0.825384367261141,0.825384367261141
paco2_apache,d1_arterial_pco2_max,0.8247042732831814,0.8247042732831814
paco2_for_ph_apache,d1_arterial_pco2_max,0.8247042732831814,0.8247042732831814
d1_diasbp_noninvasive_max,d1_mbp_max,0.8217805258761043,0.8217805258761043
d1_diasbp_max,d1_mbp_max,0.8203950699219478,0.8203950699219478
h1_mbp_noninvasive_min,h1_sysbp_noninvasive_min,0.8202349332501144,0.8202349332501144
d1_hco3_max,h1_hco3_max,0.8196109745619358,0.8196109745619358
d1_sodium_max,h1_sodium_min,0.8194694961180555,0.8194694961180555
glucose_apache,d1_glucose_max,0.8192757735850273,0.8192757735850273
d1_arterial_po2_max,h1_arterial_po2_max,0.8186215025526741,0.8186215025526741
h1_mbp_noninvasive_min,h1_sysbp_min,0.8179258553407043,0.8179258553407043
h1_mbp_min,h1_sysbp_min,0.8157841153025805,0.8157841153025805
h1_mbp_min,h1_sysbp_noninvasive_min,0.814933827508539,0.814933827508539
d1_hco3_max,h1_hco3_min,0.8116161768563603,0.8116161768563603
d1_diasbp_invasive_min,d1_mbp_invasive_min,0.8111782957450371,0.8111782957450371
h1_mbp_invasive_min,h1_sysbp_invasive_min,0.8090904275778761,0.8090904275778761
paco2_for_ph_apache,d1_arterial_pco2_min,0.8074769243247908,0.8074769243247908
paco2_apache,d1_arterial_pco2_min,0.8074769243247908,0.8074769243247908
