model,raw_feature,importance_mean,importance_std
logistic_elastic_net,age,0.025097748392330477,0.003658010692761504
logistic_elastic_net,d1_heartrate_max,0.011214268554537332,7.784059737803162e-05
logistic_elastic_net,ventilated_apache,0.006348112104386849,0.001100710811486938
logistic_elastic_net,d1_sodium_min,0.0063364235801799396,0.0007120052086053708
logistic_elastic_net,d1_hematocrit_min,0.006293399863418203,0.0011589047405173303
logistic_elastic_net,d1_bun_min,0.006283949567250924,0.0008783801595508289
logistic_elastic_net,d1_wbc_min,0.0060357549468569305,0.0003715458545778816
logistic_elastic_net,d1_creatinine_max,0.005753738213864157,0.0008848461516652861
logistic_elastic_net,d1_hemaglobin_min,0.004573445960968148,0.0009818360333823661
logistic_elastic_net,d1_lactate_min,0.0045488254525323235,0.00011514439803850252
logistic_elastic_net,apache_2_diagnosis,0.0041404731813027285,0.0006194917829674962
logistic_elastic_net,gcs_motor_apache,0.003966637470225187,0.00031185977352121697
logistic_elastic_net,d1_platelets_min,0.003947488185886194,2.0144052356618758e-05
logistic_elastic_net,apache_3j_diagnosis,0.0036711913689946307,0.00012733030625422526
logistic_elastic_net,d1_hemaglobin_max,0.003602801067783823,0.0010775824550775526
logistic_elastic_net,d1_spo2_min,0.003071346254374996,0.0005118081450610212
logistic_elastic_net,hospital_id,0.002764460320941853,0.00036458247845455594
logistic_elastic_net,bun_apache,0.0025413835929923856,0.00010270979781834555
logistic_elastic_net,weight,0.0021735681184806843,0.0005834314423290854
logistic_elastic_net,icu_id,0.0021186071855077704,0.0002181028878613378
logistic_elastic_net,solid_tumor_with_metastasis,0.0021016961292082414,0.00017085140702471913
logistic_elastic_net,d1_platelets_max,0.001971878902910007,8.181966944847963e-05
logistic_elastic_net,h1_sysbp_noninvasive_min,0.0019164205859281136,2.4869200440313932e-05
logistic_elastic_net,resprate_apache,0.0017378597267668772,0.0009445322327220618
logistic_elastic_net,elective_surgery,0.001667977273529797,0.0010382891183817189
logistic_elastic_net,urineoutput_apache,0.0014931467944345744,0.00010992186594593889
logistic_elastic_net,h1_arterial_ph_min,0.001366811256197864,0.00011837739409570336
logistic_elastic_net,apache_2_bodysystem,0.0013359734476519614,0.0006590338116674865
logistic_elastic_net,icu_admit_source,0.0013155807032909639,0.0009340871685371566
logistic_elastic_net,gcs_eyes_apache,0.0012864837387758232,0.0005990990386064432
logistic_elastic_net,d1_temp_min,0.001241967869987648,0.0005336930414485686
logistic_elastic_net,apache_3j_bodysystem,0.0012215751256265395,0.000109424481937348
logistic_elastic_net,h1_calcium_min,0.0011780540248560456,0.0002877366490942057
logistic_elastic_net,h1_arterial_po2_max,0.0011591534325216535,0.0001226051581705856
logistic_elastic_net,h1_arterial_pco2_min,0.0011283156239756953,9.276211764225328e-05
logistic_elastic_net,pre_icu_los_days,0.001124087859900813,0.00012335123418383276
logistic_elastic_net,apache_post_operative,0.0011044411915528962,0.0002663491367153603
logistic_elastic_net,d1_glucose_min,0.0010788259150993906,0.0005058395369553215
logistic_elastic_net,d1_hematocrit_max,0.0010601740147691552,0.0005205123652151644
logistic_elastic_net,intubated_apache,0.0010494802585798158,0.0005640334659856028
logistic_elastic_net,d1_sodium_max,0.001007700001840195,0.00018502685127569363
logistic_elastic_net,d1_mbp_min,0.00099252978957165,0.0006836543201034218
logistic_elastic_net,fio2_apache,0.0009776082693074284,0.0003369776659659096
logistic_elastic_net,h1_mbp_min,0.0008905660677664406,8.181966944859065e-05
logistic_elastic_net,creatinine_apache,0.0008841000756520945,0.00035836517834453296
logistic_elastic_net,d1_mbp_max,0.0008771366995287133,0.00037129716257344736
logistic_elastic_net,h1_spo2_min,0.000876141931511143,0.0001444900545581329
logistic_elastic_net,d1_wbc_max,0.0008602256432293509,4.40184847792513e-05
logistic_elastic_net,d1_spo2_max,0.000792332726027356,4.6256712818937284e-05
logistic_elastic_net,d1_arterial_pco2_min,0.0007808928938247695,3.332472858996738e-05
logistic_elastic_net,h1_pao2fio2ratio_max,0.0007659713735606588,0.00021138820374239087
logistic_elastic_net,d1_mbp_noninvasive_max,0.0007642305295297858,0.00015145343068145856
logistic_elastic_net,d1_resprate_min,0.0007612462254769636,0.000208155207685079
logistic_elastic_net,h1_hco3_max,0.000742345633142405,2.7107428479833384e-05
logistic_elastic_net,d1_sysbp_noninvasive_max,0.0007401074051027745,7.808928938246584e-05
logistic_elastic_net,map_apache,0.0007289162649045111,0.0003618468664061125
logistic_elastic_net,d1_diasbp_max,0.000691363772239828,5.172793691582411e-05
logistic_elastic_net,h1_heartrate_min,0.0006903690042221466,0.00015468642673854838
logistic_elastic_net,h1_resprate_min,0.0006597798876805672,0.0001345423743818741
logistic_elastic_net,d1_diasbp_noninvasive_min,0.0006558008156102302,3.2578652576775724e-05
logistic_elastic_net,h1_mbp_invasive_min,0.000643117523385639,0.00039542028700056964
logistic_elastic_net,h1_diasbp_noninvasive_min,0.0006264551590905443,0.00011216009398562488
logistic_elastic_net,h1_potassium_min,0.0005941251985182583,1.0196372180526492e-05
logistic_elastic_net,d1_albumin_min,0.0005916382784742491,0.00023899301623114821
logistic_elastic_net,h1_sysbp_noninvasive_max,0.0005836801343333531,6.640076517566706e-05
logistic_elastic_net,d1_mbp_noninvasive_min,0.0005237453612723098,0.00024172862827953612
logistic_elastic_net,icu_type,0.0005170306771534183,0.00015791942279580473
logistic_elastic_net,d1_hco3_max,0.0005028552329023883,0.0002402364762531528
logistic_elastic_net,h1_sodium_max,0.0004993735448408088,7.759190537376393e-05
logistic_elastic_net,h1_diasbp_noninvasive_max,0.0004834572565590167,0.00013329891436003605
logistic_elastic_net,pao2_apache,0.0004754991124180652,0.00030141470933620074
logistic_elastic_net,d1_heartrate_min,0.0004585880561187028,9.649249770832258e-05
logistic_elastic_net,h1_mbp_invasive_max,0.0004434178438501579,0.00033896720200099484
logistic_elastic_net,h1_calcium_max,0.0004367031597312665,0.00021387512378640006
logistic_elastic_net,hospital_admit_source,0.0004352110077048832,0.00017905824317004937
logistic_elastic_net,h1_platelets_min,0.0004202894874406615,0.00015816811480018345
logistic_elastic_net,h1_arterial_pco2_max,0.0004033784311411881,0.00022929402805943466
logistic_elastic_net,d1_diasbp_min,0.00040138889510604736,0.0003536400302607823
logistic_elastic_net,albumin_apache,0.00039989674307971956,0.00015617857876493169
logistic_elastic_net,d1_sysbp_min,0.00037751446268347033,0.0003322525178821034
logistic_elastic_net,d1_glucose_max,0.0003747788506349714,0.0003717945465823158
logistic_elastic_net,d1_arterial_ph_min,0.00036930762653802907,1.467282825978744e-05
logistic_elastic_net,h1_arterial_po2_min,0.00035886256235306835,0.00039218729094325777
logistic_elastic_net,d1_diasbp_noninvasive_max,0.000325537833763212,0.00012111300614414677
logistic_elastic_net,h1_temp_max,0.0003203153016707594,0.00013479106638636384
logistic_elastic_net,d1_sysbp_invasive_min,0.00030713462543735526,0.00020318136759706062
logistic_elastic_net,d1_arterial_ph_max,0.00029668956125239454,1.2683292224702214e-05
logistic_elastic_net,d1_mbp_invasive_max,0.0002947000252172538,0.00026386221667140664
logistic_elastic_net,d1_sysbp_invasive_max,0.00029022356913799285,0.0003160875375960437
logistic_elastic_net,hematocrit_apache,0.0002815193489839607,0.0001019637218052094
logistic_elastic_net,temp_apache,0.00027952981294870893,0.0002745559728608016
logistic_elastic_net,d1_lactate_max,0.0002792811209442747,0.00010668886988879356
logistic_elastic_net,h1_resprate_max,0.0002524223844687645,1.616498028622626e-05
logistic_elastic_net,h1_potassium_max,0.0002484433123982055,0.0001678671029719525
logistic_elastic_net,h1_wbc_max,0.00023252702411641346,0.0001509560466725346
logistic_elastic_net,d1_resprate_max,0.00022979141206813658,3.23299605723415e-05
logistic_elastic_net,d1_calcium_min,0.00022158457592269531,1.467282825973193e-05
logistic_elastic_net,h1_hemaglobin_max,0.00022034111590080174,7.560236933851217e-05
logistic_elastic_net,gcs_unable_apache,0.00021984373189209983,6.416253713603659e-05
logistic_elastic_net,h1_glucose_min,0.00021785419585673704,2.5366584449182383e-05
logistic_elastic_net,h1_glucose_max,0.00021661073583473245,3.655772464722373e-05
logistic_elastic_net,glucose_apache,0.00021089081973352242,0.0008714167834275588
logistic_elastic_net,h1_sysbp_max,0.00020616567164977173,2.4123124427011255e-05
logistic_elastic_net,h1_creatinine_min,0.0001952232234561646,1.1191140198152372e-05
logistic_elastic_net,h1_pao2fio2ratio_min,0.000191741535394363,0.00026286744865378076
logistic_elastic_net,h1_platelets_max,0.00019024938336809072,9.276211764219777e-05
logistic_elastic_net,d1_temp_max,0.0001785608591611254,7.560236933856768e-05
logistic_elastic_net,cirrhosis,0.0001745817870906774,1.5418904272979095e-05
logistic_elastic_net,ph_apache,0.00017085140702466362,1.740844030706512e-06
logistic_elastic_net,heart_rate_apache,0.0001696079470026035,0.0003964150550180845
logistic_elastic_net,h1_mbp_max,0.00016861317898497763,8.604743352336186e-05
logistic_elastic_net,leukemia,0.0001526968907032411,8.555004951454892e-05
logistic_elastic_net,d1_mbp_invasive_min,0.0001499612786548532,0.0005821879823071363
logistic_elastic_net,wbc_apache,0.00014697697460192005,0.00014747435861089953
logistic_elastic_net,hepatic_failure,0.00013901883046107955,2.8599580506272204e-05
logistic_elastic_net,h1_creatinine_max,0.00013180676233337518,3.73038006604709e-05
logistic_elastic_net,bmi,0.00013006591830255765,0.00016289326288387862
logistic_elastic_net,h1_diasbp_invasive_max,0.00012285385017485329,7.659713735608253e-05
logistic_elastic_net,ethnicity,0.00012111300614409126,0.00017781478314810029
logistic_elastic_net,h1_hemaglobin_min,0.00011986954612203116,2.884827251076194e-05
logistic_elastic_net,h1_bun_max,0.00011713393407369876,8.704220154143183e-06
logistic_elastic_net,h1_sysbp_min,0.0001126574779943268,6.739553319318192e-05
logistic_elastic_net,gender,0.00011066794195913054,7.88353653956575e-05
logistic_elastic_net,d1_diasbp_invasive_min,9.823334173891807e-05,0.00013852144645237763
logistic_elastic_net,gcs_verbal_apache,9.549772969058568e-05,3.879595268690972e-05
logistic_elastic_net,h1_spo2_max,9.176734962457189e-05,9.698988171713552e-06
logistic_elastic_net,h1_temp_min,8.505266550562496e-05,0.0001551838107473058
logistic_elastic_net,h1_hematocrit_min,7.78405973779761e-05,1.964666834791684e-05
logistic_elastic_net,paco2_apache,7.485629332509847e-05,4.725148083639663e-06
logistic_elastic_net,paco2_for_ph_apache,7.485629332509847e-05,4.725148083639663e-06
logistic_elastic_net,h1_heartrate_max,6.217300110056279e-05,0.00021337773977758712
logistic_elastic_net,d1_pao2fio2ratio_min,6.142692508731562e-05,9.57464216950199e-05
logistic_elastic_net,h1_diasbp_invasive_min,5.59557009904843e-05,0.0001290711502850428
logistic_elastic_net,aids,5.07331688980317e-05,8.455528149697855e-05
logistic_elastic_net,immunosuppression,4.7997556849643797e-05,0.0006299368471523459
logistic_elastic_net,h1_lactate_min,4.774886484526508e-05,0.0003123571575299744
logistic_elastic_net,h1_bilirubin_min,4.2277640748378253e-05,3.97907207050352e-06
logistic_elastic_net,d1_diasbp_invasive_max,3.058911654141294e-05,9.873072574795305e-05
logistic_elastic_net,h1_hematocrit_max,2.5366584448904828e-05,7.560236933840114e-05
logistic_elastic_net,d1_calcium_max,1.740844030800881e-05,1.9895360351962488e-06
logistic_elastic_net,h1_albumin_min,2.486920043787144e-06,1.9895360352295555e-05
logistic_elastic_net,d1_arterial_po2_min,4.973840085353842e-07,5.6701777003898e-05
logistic_elastic_net,readmission_status,0.0,0.0
logistic_elastic_net,height,-7.460760133026767e-07,4.053679671767174e-05
logistic_elastic_net,d1_sysbp_noninvasive_min,-4.476456079371971e-06,0.0001472256666064098
logistic_elastic_net,lymphoma,-6.963376123492182e-06,7.411021731207335e-05
logistic_elastic_net,h1_albumin_max,-7.460760132249611e-06,1.6413672290660486e-05
logistic_elastic_net,h1_bilirubin_max,-9.201604162956123e-06,1.4672828259842952e-05
logistic_elastic_net,d1_pao2fio2ratio_max,-1.566759627746883e-05,7.734321336938521e-05
logistic_elastic_net,d1_hco3_min,-1.8403208325856735e-05,0.0003123571575299189
logistic_elastic_net,d1_albumin_max,-2.113882037430015e-05,3.904464469123292e-05
logistic_elastic_net,h1_lactate_max,-2.7604812488812858e-05,7.212068127648852e-06
logistic_elastic_net,d1_arterial_pco2_max,-4.00394127088588e-05,0.00020318136759717165
logistic_elastic_net,d1_arterial_po2_max,-5.197662892031385e-05,7.585106134289088e-05
logistic_elastic_net,h1_wbc_min,-5.297139693788422e-05,5.222532092508114e-06
logistic_elastic_net,h1_bun_min,-5.3717472951131384e-05,1.1439832202420064e-05
logistic_elastic_net,diabetes_mellitus,-6.018346506558858e-05,2.835088850189349e-05
logistic_elastic_net,h1_sysbp_invasive_min,-6.316776911846622e-05,0.00013877013845681185
logistic_elastic_net,d1_bun_max,-6.391384513160236e-05,0.0002698308247770509
logistic_elastic_net,d1_sysbp_max,-6.93850692285447e-05,5.4960932973024956e-05
logistic_elastic_net,h1_sysbp_invasive_max,-6.938506922860022e-05,0.00014996127865496423
logistic_elastic_net,d1_bilirubin_max,-9.698988171719103e-05,0.0002377495562090881
logistic_elastic_net,icu_stay_type,-0.00010892709792859057,7.212068127676607e-05
logistic_elastic_net,h1_hco3_min,-0.00011887477810468283,2.8848272510817452e-05
logistic_elastic_net,h1_inr_min,-0.00012185908215756047,4.4267176783741036e-05
logistic_elastic_net,d1_inr_min,-0.00012185908215756047,4.4267176783741036e-05
logistic_elastic_net,h1_diasbp_max,-0.00012956853429407778,0.0001096731739416712
logistic_elastic_net,d1_potassium_max,-0.00013678060242172663,0.00010494802585792051
logistic_elastic_net,bilirubin_apache,-0.0001429979025316941,0.0001614011108573843
logistic_elastic_net,h1_inr_max,-0.00018726507931543512,5.3468780946586136e-05
logistic_elastic_net,d1_inr_max,-0.00018726507931543512,5.3468780946586136e-05
logistic_elastic_net,h1_arterial_ph_max,-0.00020964735971173987,9.922810975671048e-05
logistic_elastic_net,h1_mbp_noninvasive_max,-0.00022929402805954568,0.00019447714744297295
logistic_elastic_net,h1_diasbp_min,-0.000271074284799222,0.0002014405235662986
logistic_elastic_net,sodium_apache,-0.0002822654249973189,9.574642169507541e-05
logistic_elastic_net,h1_sodium_min,-0.00032528914175911083,0.00016314195488820182
logistic_elastic_net,d1_bilirubin_min,-0.00036159817440190034,0.0005133002970874601
logistic_elastic_net,h1_mbp_noninvasive_min,-0.0003817422267584636,0.00028326019301494476
logistic_elastic_net,d1_creatinine_min,-0.000475747804422888,0.00039318205896093916
logistic_elastic_net,arf_apache,-0.00048196510453291097,8.306312947059524e-05
logistic_elastic_net,d1_potassium_min,-0.000497384008805779,0.0003213100696885518
random_forest,age,0.005101170394311072,0.00018751377131970282
random_forest,d1_bun_min,0.004282227623812529,9.69898817165804e-06
random_forest,bun_apache,0.0032730354699458952,0.00016637495094545818
random_forest,d1_resprate_max,0.0031432182436474387,7.187198927244287e-05
random_forest,d1_heartrate_max,0.0029805736727679943,1.1191140198152372e-05
random_forest,ventilated_apache,0.00290198699937666,0.00037925530671428787
random_forest,d1_bun_max,0.002695821327726722,0.00013280153035111208
random_forest,d1_spo2_min,0.0026694599752601356,0.0002168594278393332
random_forest,d1_arterial_po2_min,0.0023876919342716296,8.729089354547748e-05
random_forest,d1_sysbp_noninvasive_min,0.002297168044669007,9.67411897127568e-05
random_forest,h1_resprate_min,0.0022252960553966195,0.0001263355382367659
random_forest,gcs_motor_apache,0.002221814367334929,0.00018104777920535664
random_forest,gcs_verbal_apache,0.0021713298904412204,2.4869200443422557e-07
random_forest,resprate_apache,0.0021506884540757887,0.0002327757161209587
random_forest,d1_creatinine_max,0.0021255705616310405,8.977781358948667e-05
random_forest,heart_rate_apache,0.0020850337649134243,7.411021731207335e-05
random_forest,d1_creatinine_min,0.0020457404282177016,6.316776911818867e-05
random_forest,creatinine_apache,0.0018614596529551997,5.1976628920147316e-05
random_forest,h1_resprate_max,0.0018495224367438556,3.7303800660692943e-06
random_forest,d1_sysbp_min,0.0018490250527351537,6.590338116679861e-05
random_forest,d1_resprate_min,0.0017580037791236625,4.750017284088637e-05
random_forest,d1_arterial_pco2_min,0.0017577550871192837,0.00011986954612219769
random_forest,d1_mbp_noninvasive_min,0.001737113650753852,0.00022108719191410442
random_forest,d1_arterial_po2_max,0.0016988150820758108,3.804987667366255e-05
random_forest,d1_lactate_min,0.0016652416614814092,7.36128333032049e-05
random_forest,d1_mbp_min,0.0016538018292788226,0.0001691105629939016
random_forest,d1_albumin_min,0.0016266944007989892,5.098186090257695e-05
random_forest,h1_sysbp_min,0.001625948324785742,0.00018801115532857127
random_forest,pre_icu_los_days,0.0016155032606007813,4.67540968276392e-05
random_forest,weight,0.001574220387869918,1.5916288281792035e-05
random_forest,apache_3j_bodysystem,0.0015707386998083384,0.0001497125866504745
random_forest,d1_wbc_max,0.0015597962516145647,0.00015468642673849287
random_forest,d1_arterial_pco2_max,0.0015553197955353038,8.952912158466386e-06
random_forest,bmi,0.0014797174261969581,7.460760132088629e-05
random_forest,gcs_eyes_apache,0.0014660393659547966,2.3625740418253827e-05
random_forest,d1_diasbp_min,0.0014192852691269353,8.928042958067373e-05
random_forest,h1_heartrate_max,0.0014041150568583904,0.0001059427938756019
random_forest,d1_diasbp_noninvasive_min,0.0014028715968364414,5.446354896426753e-05
random_forest,d1_wbc_min,0.0013936699926734297,7.062852925032725e-05
random_forest,d1_hematocrit_min,0.0013697955602507417,3.282734458120995e-05
random_forest,h1_heartrate_min,0.0013610913400967095,1.815451632142251e-05
random_forest,d1_hemaglobin_min,0.001344677667806049,2.213358839192603e-05
random_forest,urineoutput_apache,0.001333237835603518,0.00018278862323611866
random_forest,d1_hemaglobin_max,0.0013232901554274812,4.725148083639663e-06
random_forest,icu_admit_source,0.0012735517545468533,5.8442621034660025e-05
random_forest,map_apache,0.0012563920062430012,1.9895360351962488e-06
random_forest,apache_2_bodysystem,0.0011917320850983182,0.00014672828259759685
random_forest,h1_sysbp_noninvasive_min,0.0011842713249662906,7.659713735602702e-05
random_forest,d1_glucose_min,0.001181287020913524,7.709452136478445e-05
random_forest,d1_hematocrit_max,0.0011457240642838151,2.9594348523898084e-05
random_forest,h1_mbp_noninvasive_min,0.001130305160010836,0.00011663655006494134
random_forest,d1_heartrate_min,0.001124585243909515,4.973840087019177e-07
random_forest,d1_lactate_max,0.001100710811486938,3.730380066041539e-05
random_forest,d1_arterial_ph_min,0.0010937474353637233,7.759190537370841e-05
random_forest,wbc_apache,0.00108827621126667,4.6754096827805736e-05
random_forest,d1_albumin_max,0.0010741007670158065,3.606034063835528e-05
random_forest,glucose_apache,0.001063407010826467,0.00012981722629828996
random_forest,d1_sysbp_max,0.001059925322764943,2.835088850189349e-05
random_forest,d1_glucose_max,0.0010489828745711138,7.212068127682159e-05
random_forest,d1_platelets_min,0.0010430142664654696,3.9790720703924976e-06
random_forest,d1_pao2fio2ratio_max,0.001030579666245257,0.00012384861819253468
random_forest,h1_diasbp_min,0.0010009853177214145,4.25263327529235e-05
random_forest,d1_pao2fio2ratio_min,0.0009989957816861628,7.212068127593341e-06
random_forest,h1_mbp_min,0.0009833281854088605,3.232996057239701e-05
random_forest,d1_sysbp_noninvasive_max,0.0009696501251666434,3.7303800661248054e-06
random_forest,hematocrit_apache,0.0009664171291093315,2.3377048413875112e-05
random_forest,d1_arterial_ph_max,0.0009639302090653779,2.536658444907136e-05
random_forest,h1_inr_max,0.0009597024449904956,4.401848477936232e-05
random_forest,h1_diasbp_noninvasive_min,0.0009343358605414243,7.684582936057227e-05
random_forest,h1_mbp_max,0.0009156839602111888,6.963376123214626e-06
random_forest,h1_sysbp_max,0.0009074771240659696,1.1191140198152372e-05
random_forest,d1_temp_max,0.0009025032839777847,6.714684118946934e-06
random_forest,d1_temp_min,0.0008594795672162703,4.0785488722050456e-05
